,index,uniqueId,title,price,productDescription,productImage,availability,name,catlevel1Name,catlevel2Name,combined_value
1184,1184,00269528,layered pave initial d pendant necklace,24.9,Personalize your outfit with this glam necklace that features a pave-embellished pendant of the initial D.,"https://images.express.com/is/image/expressfashion/0008_00269528_0413?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,layered pave initial d pendant necklace,women,Jewelry,layered pave initial d pendant necklace
1185,1185,80002624,en saison floral jacquard peplum midi dress,126.0,This vintage floral jacquard midi dress will have all eyes on you. Pair with heels and you're ready for any special occasion.,"https://images.express.com/is/image/expressfashion/0394_80002624_3001?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,en saison floral jacquard peplum midi dress,women,Labels We Love ,en saison floral jacquard peplum midi dress
1186,1186,80000317,w&p margarita carry on cocktail kit,24.0,"This kit includes the tools to craft two Margarita cocktails mid-flight: small-batch margarita syrup, rimming salt, 1/2 oz jigger, a travel-size bar spoon, a recipe card and a linen coaster. Just add the hard stuff and stir.","https://images.express.com/is/image/expressfashion/0332_80000317_3024?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,w&p margarita carry on cocktail kit,women,Labels We Love ,w&p margarita carry on cocktail kit
1187,1187,80002101,reserved footwear bergren boots,59.99,"This shoe is extremely tough, extremely well-made, and extremely awesome. Contrast panels at the ankles make it pop, while its construction will make it last.","https://images.express.com/is/image/expressfashion/0341_80002101_3000?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,reserved footwear bergren boots,men,Labels We Love,reserved footwear bergren boots
1188,1188,09617123,twist front double layer pleated top,59.9,A double layer of fabric with a twist front and pleated bottom make for an intricate design. Pair this one with leggings or jeans-- we love both.,"https://images.express.com/is/image/expressfashion/0086_09617123_1085?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,twist front double layer pleated top,women,Tops,twist front double layer pleated top
1189,1189,03271765,extra slim charcoal cotton oxford suit pant,98.0,"An extra slim fit with a soft cotton feel, this suit pant is perfect for long days at work or all-day events. You can be comfortable and look sharp in this pant. Pair it with the matching jacket and our 1MX shirt.","https://images.express.com/is/image/expressfashion/0039_03271765_0904?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,extra slim charcoal cotton oxford suit pant,men,Pants,extra slim charcoal cotton oxford suit pant
1190,1190,80002466,endless rose pink tweed mini dress,90.0,Keep it classy and always trendy in this pink button down mini dress. This chic little dress is formed from soft woven fabric featuring a square neckline and princess-seamed-bodice. Style with heels or sandals.,"https://images.express.com/is/image/expressfashion/0394_80002466_3032?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,endless rose pink tweed mini dress,women,Labels We Love ,endless rose pink tweed mini dress
1191,1191,07875823C,striped ribbed long sleeve fitted sweater dress,69.9,"Thick striped sweater fabric fits and flatters your body in this slimming long sleeve dress, designed with ribs and a classic crew neck.","https://images.express.com/is/image/expressfashion/0094_07875823_1302?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",false,striped ribbed long sleeve fitted sweater dress,women,Clearance  Women,striped ribbed long sleeve fitted sweater dress
1192,1192,80000049,breda navy valor watch,80.0,"Military, meet modern. Fashioned with a stainless steel case, navy nylon strap and navy leather loops near the buckle, the Valor was created with a utilitarian-like aesthetic in mind.","https://images.express.com/is/image/expressfashion/0334_80000049_3009?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,breda navy valor watch,men,Labels We Love,breda navy valor watch
1193,1193,00507308,open chain stone pendant bracelet,14.9,Accent your outfit with this chic bracelet that features an open paperclip-style chain and a bold pendant.,"https://images.express.com/is/image/expressfashion/0008_00507308_1907?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,open chain stone pendant bracelet,women,Jewelry,open chain stone pendant bracelet
1194,1194,06745937,soft notch collar one button blazer,128.0,"Streamlined tailoring gives this soft, yet structured notch collar blazer a polished, professional vibe. Layer it over your favorite camis and blouses all year long.","https://images.express.com/is/image/expressfashion/0078_06745937_0058?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,soft notch collar one button blazer,women,Jackets & Coats,soft notch collar one button blazer
1195,1195,01764659,slim snowflake print button-down shirt,59.9,"A winter-themed print, button-down collar and slim fit make this shirt a must-have in every sharp-dressed man's wardrobe. Work it with dress pants or tuck it into jeans.","https://images.express.com/is/image/expressfashion/0020_01764659_0925?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,slim snowflake print button-down shirt,men,Tops,slim snowflake print button-down shirt
1196,1196,80001924,deny designs rainbow agate coaster set,15.0,The Deny coaster set is designed to keep your table clean while showcasing eclectic artwork. Made from a satin-finished fiberboard that's lightweight. And the best part? Every purchase pays the artist who designed it- supporting creativity worldwide.,"https://images.express.com/is/image/expressfashion/0332_80001924_3024?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,deny designs rainbow agate coaster set,women,Labels We Love ,deny designs rainbow agate coaster set
1197,1197,07459990C,low rise stripe seersucker ankle columnist pant,79.9,This mid rise Columnist in a shortened length offers structure with a bit of stretch to carry you comfortably through the day. Soft seersucker and bold stripes ensure lasting versatility.,"https://images.express.com/is/image/expressfashion/0092_07459990_0037?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",false,low rise stripe seersucker ankle columnist pant,women,Clearance  Women,low rise stripe seersucker ankle columnist pant
1198,1198,09705636,sheer metallic portofino shirt,59.9,"Our classic Portofino gets a fun update thanks to a sheer fabric and metallic details. We love it for the office, happy hour and more.","https://images.express.com/is/image/expressfashion/0097_09705636_0003?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,sheer metallic portofino shirt,women,Tops,sheer metallic portofino shirt
1199,1199,01764777,slim fair isle corduroy shirt,59.9,"Rich corduroy fabric, a comfortable fit and a classic fair isle patten makes this shirt a perfect pick for cold nights and chilly days.","https://images.express.com/is/image/expressfashion/0020_01764777_0389?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,slim fair isle corduroy shirt,men,Tops,slim fair isle corduroy shirt
1200,1200,02200208,new orleans pelicans NBA graphic t-shirt,29.9,Make it NBA official. Rep your team in style with this graphic tee that's perfect for sports fans.,"https://images.express.com/is/image/expressfashion/0023_02200208_0058?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,new orleans pelicans NBA graphic t-shirt,men,Express x NBA,new orleans pelicans NBA graphic t-shirt
1201,1201,04231811,tie dye moisture-wicking sport trunks,22.9,"Moisture-wicking sport trunks with a cool tie dye print, slim fit, and elastic waistband. The 4-way stretch gives you a confident mix of all-day comfort.","https://images.express.com/is/image/expressfashion/0036_04231811_0997?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,tie dye moisture-wicking sport trunks,men,Underwear & Lounge,tie dye moisture-wicking sport trunks
1202,1202,09755457C,shadow striped puff tie sleeve top,49.9,"Embrace your sunny-day style with this lightweight, shadow-striped design featuring feminine self-tie puff sleeves, a banded hem and a flirty, shorter length.","https://images.express.com/is/image/expressfashion/0087_09755457_2106?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",false,shadow striped puff tie sleeve top,women,Clearance  Women,shadow striped puff tie sleeve top
1203,1203,07450621C,high waisted striped sash tie pull-on ankle pant,79.9,A vibrant stripe decorates these slip-on sash tie pants that are ready to step into the office or out on the weekend. The tapered leg and ankle length make shoe-pairing as easy as your decision to add these beauties to your wardrobe.,"https://images.express.com/is/image/expressfashion/0092_07450621_0033?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",false,high waisted striped sash tie pull-on ankle pant,women,Clearance  Women,high waisted striped sash tie pull-on ankle pant
1204,1204,09755566C,metallic striped puff sleeve cropped top,49.9,"Get a nightlife look that shines with this metallic cropped top as the main attraction. Tie puff sleeves and a banded hem add to the flirty, fierce vibe of this design.","https://images.express.com/is/image/expressfashion/0087_09755566_0030?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",false,metallic striped puff sleeve cropped top,women,Clearance  Women,metallic striped puff sleeve cropped top
1205,1205,00419251,steve madden charleen booties,151.95,"These sleek booties from Featured Brand Steve Madden feature genuine leather, a pointed toe and a stacked heel for a boost of height and confidence.","https://images.express.com/is/image/expressfashion/0095_00419251_0098?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,steve madden charleen booties,women,Labels We Love ,steve madden charleen booties
1206,1206,08635354,textured ruched front peplum tank,39.9,A super-slimming peplum style with front ruching and allover textured fabric. This polished style is perfect for elevating a casual look.,"https://images.express.com/is/image/expressfashion/0097_08635354_2090?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,textured ruched front peplum tank,women,Tops,textured ruched front peplum tank
1207,1207,07471001,mid rise belted skinny pant,79.9,A skinny fit with maximum stretch. Stay comfy all season long in these belted mid rise pants.,"https://images.express.com/is/image/expressfashion/0092_07471001_0058?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,mid rise belted skinny pant,women,Work,mid rise belted skinny pant
1208,1208,01760485C,plaid hooded flannel,69.9,"A comfortable combination of a hoodie and a shirt, this flannel is a sure pick on cold days. Timeless plaid looks sharp paired with jeans, chinos and more.","https://images.express.com/is/image/expressfashion/0020_01760485_1805?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",false,plaid hooded flannel,men,Clearance Men,plaid hooded flannel
1209,1209,09910904,suede unisex fragrance - 1.7 oz.,34.9,"A unexpected * fresh fragrance with notes of cedarwood and vetiver. Top notes: juniper berries, coriander seeds, orange. Middle notes: vintage suede, purple violet, jasmine. Base notes: bourbon vetiver, blonde cedarwood, amber. 1.7 fl. oz.","https://images.express.com/is/image/expressfashion/0005_09910904_0002?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,suede unisex fragrance - 1.7 oz.,women,Accessories,suede unisex fragrance - 1.7 oz.
1210,1210,06436174C,woven sherpa hooded zip sweatshirt,69.9,"Cozy, cute and versatile, this woven sherpa sweatshirt is at the top of our must-have list. The sleek stripe design, supersoft feel and half zip make it so stylish and easy to wear over anything. We love it for staying in or stepping out.","https://images.express.com/is/image/expressfashion/0086_06436174_0552?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",false,woven sherpa hooded zip sweatshirt,women,Clearance  Women,woven sherpa hooded zip sweatshirt
1211,1211,80000178,blind barber lemongrass tea shampoo/bodywash,25.0,This daily sulfate-free lemongrass tea shampoo & bodywash has been formulated with a custom spirit blend to cleanse your hair and body with natural ingredients of hops extract and juniper berry to remove product build-up and debris.,"https://images.express.com/is/image/expressfashion/0348_80000178_3000?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,blind barber lemongrass tea shampoo/bodywash,men,Labels We Love,blind barber lemongrass tea shampoo/bodywash
1212,1212,05052460,3 pack deep v-neck t-shirts,44.9,Stock up on the essentials with this 3 pack of deep v-neck tees. These t-shirts are so versatile you can rock them solo or throw on a jacket.,"https://images.express.com/is/image/expressfashion/0036_05052460_0010?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,3 pack deep v-neck t-shirts,men,New Arrivals,3 pack deep v-neck t-shirts
1213,1213,02811219,white graphic crew neck t-shirt,39.9,"A classic crew neck, stretchy fabric and logo graphics makes this t-shirt a fast favorite.","https://images.express.com/is/image/expressfashion/0023_02811219_0010?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,white graphic crew neck t-shirt,men,Tops,white graphic crew neck t-shirt
1214,1214,04237030,memphis grizzlies NBA boxer briefs,24.9,Cheer on your favorite NBA team in confidence and style with these boxer briefs. Soft stretch cotton ensures an easy fit and enduring comfort all day long.,"https://images.express.com/is/image/expressfashion/0036_04237030_0058?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,memphis grizzlies NBA boxer briefs,men,Underwear & Lounge,memphis grizzlies NBA boxer briefs
1215,1215,07108761C,high waisted denim perfect curves ripped ankle leggings,88.0,"Finally, a jean designed to fit, flatter and contour your curves for a custom-like feel that makes you your most confident self. We love this edgy, ripped raw hem weekend style that goes with absolutely anything. Also available in Denim Perfect.","https://images.express.com/is/image/expressfashion/0091_07108761_0020?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",false,high waisted denim perfect curves ripped ankle leggings,women,Clearance  Women,high waisted denim perfect curves ripped ankle leggings
1216,1216,04372183,extra slim teal cotton-blend stretch suit jacket,228.0,"A jacket that not only keeps you looking your absolute best, but gives you a comfortable, slimming fit you can still move in. Tailored to perfection, this cotton-blend style is a winning look every time - especially with the matching pant.","https://images.express.com/is/image/expressfashion/0039_04372183_2183?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,extra slim teal cotton-blend stretch suit jacket,men,Suiting,extra slim teal cotton-blend stretch suit jacket
1217,1217,04371912,slim gray cotton sateen stretch suit jacket,228.0,"A slim, lightweight suit pant in a fresh hue that offers an easy backdrop for your personal styling touches, while stretch-infused fabric lets you move. Make it two-piece sharp with the matching pant.","https://images.express.com/is/image/expressfashion/0039_04371912_1512?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,slim gray cotton sateen stretch suit jacket,men,Suiting,slim gray cotton sateen stretch suit jacket
1218,1218,06955648C,oversized cozy color block teddy jacket,128.0,"A soft and stylish layer that goes with anything, the cozy teddy jacket is a staple here to stay. Throw it on over leggings or jeans before heading out in the cold weather.","https://images.express.com/is/image/expressfashion/0078_06955648_0625?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",false,oversized cozy color block teddy jacket,women,Clearance  Women,oversized cozy color block teddy jacket
1219,1219,80000723,tuleste delicate heart eyewear chain,50.0,Break some hearts with this trendy Brass chain studded with minimalistic heart charms. Can be worn as a necklace or eyewear chain.,"https://images.express.com/is/image/expressfashion/0306_80000723_3030?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,tuleste delicate heart eyewear chain,women,Accessories,tuleste delicate heart eyewear chain
1220,1220,00768957,layered linear chain earrings,24.9,These earrings add glam to all your looks with a dramatic drop and layered chains.,"https://images.express.com/is/image/expressfashion/0008_00768957_0413?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,layered linear chain earrings,women,Jewelry,layered linear chain earrings
1221,1221,00929656,steve madden kori tailored mules,81.95,"Tailored with a chic gold buckle, Kori from featured brand Steve Madden offers a sophisticated, easy to slip-on style for work or play.","https://images.express.com/is/image/expressfashion/0095_00929656_0024?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,steve madden kori tailored mules,women,Labels We Love ,steve madden kori tailored mules
1222,1222,00929655,steve madden terri sneakers,91.95,"Sturdy, supportive and slip-proof, with a chunky treaded sole, the Terri lace-up from Steve Madden makes a statement with croc-embossed surfaces.","https://images.express.com/is/image/expressfashion/0095_00929655_0001?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,steve madden terri sneakers,women,Labels We Love ,steve madden terri sneakers
1223,1223,80002654,endless rose off the shoulder elastic waist romper,70.0,"Day or night. This romper is super versatile, that you can dress up or down. Pair with wedges for a lunch date and heels for a night out.","https://images.express.com/is/image/expressfashion/0394_80002654_3032?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,endless rose off the shoulder elastic waist romper,women,Labels We Love ,endless rose off the shoulder elastic waist romper
1224,1224,02756778,athletic slim dark wash hyper stretch jeans,88.0,"Our athletic slim jeans offer more room in the thigh, with a slimmer leg - perfect for a comfortable, flattering look. This sleek dark wash pair is ready for any occasion, any day.","https://images.express.com/is/image/expressfashion/0024_02756778_0020?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,athletic slim dark wash hyper stretch jeans,men,Pants,athletic slim dark wash hyper stretch jeans
1225,1225,80002655,en saison button detail mock neck sweater,72.0,The perfect layering piece for those cooler nights featuring lightweight ribbed fabric and button details.,"https://images.express.com/is/image/expressfashion/0396_80002655_3040?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,en saison button detail mock neck sweater,women,Labels We Love ,en saison button detail mock neck sweater
1226,1226,80002657,casery tortoiseshell matte iphone case,32.0,"The best in complete protection. Our cases feature a slim profile and a protective raised lip that give your iPhone 360-degree drop-proof protection. Our cases are as cute as they are tough, ensuring a solid, comfortable grip.","https://images.express.com/is/image/expressfashion/0330_80002657_3025?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,casery tortoiseshell matte iphone case,women,Labels We Love ,casery tortoiseshell matte iphone case
1227,1227,00310203,steven by steve madden fannie mules,129.0,Fannie from featured brand Steven by Steve Madden are the mules you want this season. Featuring a wood block heel and effortless slip-on design.,"https://images.express.com/is/image/expressfashion/0095_00310203_0001?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,steven by steve madden fannie mules,women,Labels We Love ,steven by steve madden fannie mules
1228,1228,05738255,tie dye hooded long sleeve t-shirt,59.9,"Go for a cool, comfortable look with this long sleeve t-shirt featuring an adjustable drawstring hood and tie dye design.","https://images.express.com/is/image/expressfashion/0022_05738255_0058?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,tie dye hooded long sleeve t-shirt,men,New Arrivals,tie dye hooded long sleeve t-shirt
1229,1229,06035037,classic floral wrinkle-resistant performance dress shirt,69.9,"An essential in every sharp-dressed man's wardrobe. Easy-to-care for, crisp and made from cool stretch fabric for all-day comfort.","https://images.express.com/is/image/expressfashion/0020_06035037_1369?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,classic floral wrinkle-resistant performance dress shirt,men,Tops,classic floral wrinkle-resistant performance dress shirt
1230,1230,06417314,twist front cami,34.9,"An essential base layer, this cami features silky fabric and a chic twist front.","https://images.express.com/is/image/expressfashion/0086_06417314_0058?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,twist front cami,women,Tops,twist front cami
1231,1231,80000903,my cinema lightbox alternative letter & symbol pack,9.99,An add-on alternative font letter and symbol pack featuring 100 single and double-width tiles. This pack is designed for the Original My Cinema Lightbox.,"https://images.express.com/is/image/expressfashion/0331_80000903_3000?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,my cinema lightbox alternative letter & symbol pack,women,Labels We Love ,my cinema lightbox alternative letter & symbol pack
1232,1232,00419231,open back ankle strap western booties,69.9,"A slanted block heel, Western-inspired design and an open back make these booties a perfect way to get your kicks any day of the week.","https://images.express.com/is/image/expressfashion/0095_00419231_0098?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,open back ankle strap western booties,women,,open back ankle strap western booties
1233,1233,04601751,ombre polka dot dress socks,10.9,"These soft, stretchy socks keep your feet feeling comfy all day long. Paired with a suit, these dapper, dotted socks are sure to earn you the style respect you deserve.","https://images.express.com/is/image/expressfashion/0028_04601751_1709?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,ombre polka dot dress socks,men,Accessories & Shoes,ombre polka dot dress socks
1234,1234,00769084,three row multicolor linear drop earrings,19.9,"Long, shiny and so chic, these three row drop earrings add just enough glam to any look.","https://images.express.com/is/image/expressfashion/0008_00769084_0344?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,three row multicolor linear drop earrings,women,Jewelry,three row multicolor linear drop earrings
1235,1235,03252148,slim navy stretch suit pant,78.0,"A slim, lightweight pant in a fresh and neutral navy that offers an easy backdrop for your personal styling touches, all in stretch-infused fabric that lets you move. Make it two-piece sharp with the matching jacket.","https://images.express.com/is/image/expressfashion/0039_03252148_1378?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,slim navy stretch suit pant,men,Pants,slim navy stretch suit pant
1236,1236,08635378,pleated square neck cropped cami,49.9,A so-chic cropped cami with pleats allover and a sleek square neck. The adjustable straps help you get a fit that's just right.,"https://images.express.com/is/image/expressfashion/0097_08635378_2177?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,pleated square neck cropped cami,women,Tops,pleated square neck cropped cami
1237,1237,01695114,slim floral print short sleeve shirt,59.9,"Made from pure cotton with a fresh floral print, this short sleeve shirt provides effortless, cool style.","https://images.express.com/is/image/expressfashion/0020_01695114_0001?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,slim floral print short sleeve shirt,men,New Arrivals,slim floral print short sleeve shirt
1238,1238,80000245,reserved footwear barna boots,69.99,"Lace them up and forget all your worries. The Barca offers durable, dry comfort for the everyday outdoorsman. Its slip resistant outsoles are completed by leather comfort collars, so it is easy to wear with ultimate comfort.","https://images.express.com/is/image/expressfashion/0341_80000245_3000?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,reserved footwear barna boots,men,Labels We Love,reserved footwear barna boots
1239,1239,04235140,camo print sport trunks,19.9,"The comfort and support you need in your base layer, these camo sport trunks feature the right amount of stretch and softness for comfort all day long.","https://images.express.com/is/image/expressfashion/0036_04235140_0453?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,camo print sport trunks,men,Underwear & Lounge,camo print sport trunks
1240,1240,00419228,steven by steve madden gant booties,129.0,An adjustable slingback strap and angled block heel refresh the silhouette of these Steve Madden pointed-toe booties. A foam-cushioned footbed adds extra comfort to these genuine leather kicks.,"https://images.express.com/is/image/expressfashion/0095_00419228_0024?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,steven by steve madden gant booties,women,Labels We Love ,steven by steve madden gant booties
1241,1241,01764685,classic button-down oxford shirt,49.9,"Pure cotton, a button-down collar and a dot print makes this shirt an endlessly comfortable and fashionable pick for daily wear.","https://images.express.com/is/image/expressfashion/0020_01764685_0559?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,classic button-down oxford shirt,men,Tops,classic button-down oxford shirt
1242,1242,00284964,two pocket denim shirt,59.9,"An essential in every sharp-dressed man's closet, a denim shirt gives you the ultimate cool and causal look. Pair it with chinos or a darker wash jean.","https://images.express.com/is/image/expressfashion/0020_00284964_0461?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,two pocket denim shirt,men,Tops,two pocket denim shirt
1243,1243,00768974,pearl drop earrings,24.9,Add a little glam to all your favorite looks with these earrings that feature a dramatic drop and faux pearl accents.,"https://images.express.com/is/image/expressfashion/0008_00768974_0403?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,pearl drop earrings,women,Jewelry,pearl drop earrings
1244,1244,00846074,open front baguette statement ring,24.9,This ring adds glam to your look with a bold open front design and glittery stone accents.,"https://images.express.com/is/image/expressfashion/0008_00846074_0408?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,open front baguette statement ring,women,Jewelry,open front baguette statement ring
1245,1245,02813031,memphis grizzlies NBA crew neck foil graphic t-shirt,29.9,Make it NBA official. Rep your team in style with this Memphis Grizzlies crew neck tee in a foil graphic.,"https://images.express.com/is/image/expressfashion/0023_02813031_0010?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,memphis grizzlies NBA crew neck foil graphic t-shirt,men,Express x NBA,memphis grizzlies NBA crew neck foil graphic t-shirt
1246,1246,08411320,textured buckle belt cardigan,69.9,"Cover up in chic, comfy cardigans this season. This cozy version comes in a textured cotton-blend with a front buckle closure.","https://images.express.com/is/image/expressfashion/0096_08411320_2032?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,textured buckle belt cardigan,women,Sweaters & Cardigans,textured buckle belt cardigan
